Time,US_McDonalds,China_McDonalds,Other_McDonalds,US_KFC,China_KFC,Other_KFC
2000,12623,270,12837,4062,146,3345
2001,13099,328,14044,4827,200,3481
2002,13487,409,15235,5347,312,3715
2003,13745,579,16165,5655,400,3953
2004,13691,675,16672,5763,600,4265
2005,13758,736,17140,5929,875,4671
2006,13755,903,18176,5603,1638,5355
2007,13829,1050,19167,5197,2144,6151
2008,13862,1325,19310,5132,3128,7239
2009,13938,1391,19268,4473,3682,8833
2010,13955,1482,19725,4120,4135,10046
2011,13830,1464,20575,3786,5566,11247
2012,14157,1623,21719,3352,6898,12131
2013,14267,2073,22729,2953,6905,13020
2014,14146,2600,23059,3240,6934,14197
2015,14157,2669,23424,3761,6909,15070
2016,14027,2600,23246,3780,6100,16004
2017,13846,2500,23092,3001,6776,17223
2018,13914,2890,23267,2897,6791,18698
2019,13846,3383,23593,2954,6843,20604
2020,13486,3524,23529,3242,7120,22167
2021,13529,3571,23623,3962,7622,23516
