time,US_KFC,China_KFC,US_McDonalds,China_McDonalds
1993,11900,5400,14186,9401
1994,12600,5600,14941,11046
1995,13200,6500,15905,14009
1996,13400,6900,16370,15442
1997,13500,7000,17125,16513
1998,14013,6487,18123,17856
1999,14516,6084,19006,19485
2000,14514,7645,19573,20608
2001,14596,7732,20061,20570
2002,15800,8400,26366,15160
2003,16400,9500,28738.94,17193.06
2004,16900,11000,31612.834,19676.166
2005,17700,12100,33193.4757,21445.5243
2006,17800,13300,35185.08424,22277.91576
2007,17800,15700,36944.33845,26609.66155
2008,17978,17867,38791.55538,31901.44462
2009,18200,23500,39955.30204,32431.69796
2010,19700,25845,41473.60352,35906.39648
2011,20300,26203.45,42261.60198,43679.39802
2012,20500,27651.588,43656.23485,44633.76515
2013,20500,28781.13564,43568.92238,45557.07762
2014,20600,30332.38107,42653.97501,45132.02499
2015,22159,30735.70488,42867.24488,39846.75512
2016,22328,31550.41897,43595.98805,31406.01195
2017,24200,43729,45165.44362,34341.66238
2018,25900,44921,46294.57971,37240.34606
2019,27900,46694,48609.30869,40444.1777
2020,29800,49237,48803.74593,47876.85892
2021,31100,52584,55538.66286,33006.23916
